year,city,country,avg_temp,10y_ma
1820,Dallas,United States,16.88,
1821,Dallas,United States,17.33,
1822,Dallas,United States,17.87,
1823,Dallas,United States,17.46,
1824,Dallas,United States,17.9,
1825,Dallas,United States,18.38,
1826,Dallas,United States,17.93,
1827,Dallas,United States,18.62,
1828,Dallas,United States,18.26,
1829,Dallas,United States,17.89,
1830,Dallas,United States,18.68,
1831,Dallas,United States,16.98,17.93
1832,Dallas,United States,17.81,17.94
1833,Dallas,United States,18.29,17.98
1834,Dallas,United States,18.5,18.02
1835,Dallas,United States,16.58,18.11
1836,Dallas,United States,16.67,17.99
1837,Dallas,United States,17.47,17.84
1838,Dallas,United States,16.54,17.8
1839,Dallas,United States,17.64,17.61
1840,Dallas,United States,17.62,17.55
1841,Dallas,United States,17.66,17.53
1842,Dallas,United States,17.98,17.43
1843,Dallas,United States,17.44,17.52
1844,Dallas,United States,17.92,17.49
1845,Dallas,United States,17.76,17.46
1846,Dallas,United States,18.19,17.39
1847,Dallas,United States,17.06,17.54
1848,Dallas,United States,17.4,17.57
1849,Dallas,United States,17.86,17.56
1850,Dallas,United States,17.74,17.68
1851,Dallas,United States,17.91,17.69
1852,Dallas,United States,17.4,17.72
1853,Dallas,United States,17.17,17.7
1854,Dallas,United States,18.14,17.62
1855,Dallas,United States,17.61,17.69
1856,Dallas,United States,16.93,17.66
1857,Dallas,United States,17.31,17.58
1858,Dallas,United States,17.9,17.5
1859,Dallas,United States,17.91,17.58
1860,Dallas,United States,18.34,17.63
1861,Dallas,United States,18.41,17.67
1862,Dallas,United States,18.35,17.73
1863,Dallas,United States,17.9,17.77
1864,Dallas,United States,17.41,17.82
1865,Dallas,United States,17.95,17.84
1866,Dallas,United States,17.79,17.82
1867,Dallas,United States,18.45,17.84
1868,Dallas,United States,17.61,17.97
1869,Dallas,United States,16.94,18
1870,Dallas,United States,17.82,17.91
1871,Dallas,United States,18.27,17.91
1872,Dallas,United States,17.28,17.9
1873,Dallas,United States,17.37,17.8
1874,Dallas,United States,18.24,17.71
1875,Dallas,United States,17.24,17.74
1876,Dallas,United States,17.67,17.72
1877,Dallas,United States,17.53,17.7
1878,Dallas,United States,18.01,17.67
1879,Dallas,United States,18.37,17.63
1880,Dallas,United States,17.75,17.7
1881,Dallas,United States,18.17,17.78
1882,Dallas,United States,18.21,17.81
1883,Dallas,United States,17.77,17.8
1884,Dallas,United States,17.44,17.85
1885,Dallas,United States,16.82,17.85
1886,Dallas,United States,17.22,17.73
1887,Dallas,United States,17.89,17.72
1888,Dallas,United States,17.28,17.74
1889,Dallas,United States,17.71,17.72
1890,Dallas,United States,18.5,17.69
1891,Dallas,United States,17.35,17.71
1892,Dallas,United States,17.21,17.67
1893,Dallas,United States,18.01,17.58
1894,Dallas,United States,17.96,17.56
1895,Dallas,United States,17.02,17.58
1896,Dallas,United States,18.6,17.54
1897,Dallas,United States,17.93,17.7
1898,Dallas,United States,17.41,17.77
1899,Dallas,United States,17.59,17.73
1900,Dallas,United States,18.08,17.75
1901,Dallas,United States,18.02,17.79
1902,Dallas,United States,18.03,17.74
1903,Dallas,United States,16.64,17.81
1904,Dallas,United States,18.12,17.75
1905,Dallas,United States,16.97,17.76
1906,Dallas,United States,17.3,17.67
1907,Dallas,United States,18.44,17.7
1908,Dallas,United States,18.24,17.68
1909,Dallas,United States,18.62,17.71
1910,Dallas,United States,18.49,17.82
1911,Dallas,United States,19.11,17.9
1912,Dallas,United States,17.1,18
1913,Dallas,United States,17.57,17.91
1914,Dallas,United States,17.75,17.87
1915,Dallas,United States,17.67,17.97
1916,Dallas,United States,18.23,17.93
1917,Dallas,United States,17.3,18.05
1918,Dallas,United States,18.2,18.05
1919,Dallas,United States,17.41,18.03
1920,Dallas,United States,17.55,17.95
1921,Dallas,United States,19.48,17.85
1922,Dallas,United States,18.6,17.94
1923,Dallas,United States,18.15,17.9
1924,Dallas,United States,17.48,17.99
1925,Dallas,United States,18.98,17.98
1926,Dallas,United States,17.62,18.1
1927,Dallas,United States,18.79,18.09
1928,Dallas,United States,17.93,18.14
1929,Dallas,United States,17.58,18.2
1930,Dallas,United States,18.04,18.14
1931,Dallas,United States,18.57,18.2
1932,Dallas,United States,17.99,18.29
1933,Dallas,United States,19.34,18.16
1934,Dallas,United States,19.34,18.22
1935,Dallas,United States,18.09,18.33
1936,Dallas,United States,18.21,18.39
1937,Dallas,United States,17.94,18.32
1938,Dallas,United States,19.12,18.35
1939,Dallas,United States,19.16,18.38
1940,Dallas,United States,17.19,18.49
1941,Dallas,United States,18.27,18.45
1942,Dallas,United States,17.94,18.47
1943,Dallas,United States,18.42,18.42
1944,Dallas,United States,18.4,18.46
1945,Dallas,United States,18.06,18.37
1946,Dallas,United States,18.91,18.25
1947,Dallas,United States,17.96,18.33
1948,Dallas,United States,18.26,18.31
1949,Dallas,United States,18.05,18.34
1950,Dallas,United States,18.15,18.24
1951,Dallas,United States,18.63,18.15
1952,Dallas,United States,18.85,18.28
1953,Dallas,United States,18.82,18.33
1954,Dallas,United States,19.67,18.41
1955,Dallas,United States,18.73,18.52
1956,Dallas,United States,19.36,18.55
1957,Dallas,United States,18.1,18.67
1958,Dallas,United States,17.63,18.6
1959,Dallas,United States,17.75,18.57
1960,Dallas,United States,17.71,18.52
1961,Dallas,United States,17.68,18.49
1962,Dallas,United States,18.32,18.45
1963,Dallas,United States,18.84,18.42
1964,Dallas,United States,18.38,18.42
1965,Dallas,United States,18.54,18.38
1966,Dallas,United States,17.61,18.28
1967,Dallas,United States,18.33,18.17
1968,Dallas,United States,17.36,18.08
1969,Dallas,United States,18.15,18.01
1970,Dallas,United States,17.91,18.06
1971,Dallas,United States,18.51,18.08
1972,Dallas,United States,18.31,18.15
1973,Dallas,United States,17.98,18.21
1974,Dallas,United States,18.26,18.17
1975,Dallas,United States,17.95,18.12
1976,Dallas,United States,17.45,18.08
1977,Dallas,United States,18.88,17.98
1978,Dallas,United States,17.82,18.1
1979,Dallas,United States,17.11,18.05
1980,Dallas,United States,18.77,18.03
1981,Dallas,United States,18.41,18.09
1982,Dallas,United States,18.17,18.13
1983,Dallas,United States,17.2,18.1
1984,Dallas,United States,18.47,18
1985,Dallas,United States,18.22,18.04
1986,Dallas,United States,18.83,18.04
1987,Dallas,United States,18.28,18.12
1988,Dallas,United States,18.19,18.2
1989,Dallas,United States,17.48,18.13
1990,Dallas,United States,18.97,18.1
1991,Dallas,United States,18.47,18.27
1992,Dallas,United States,18.19,18.24
1993,Dallas,United States,17.82,18.22
1994,Dallas,United States,18.31,18.19
1995,Dallas,United States,18.45,18.29
1996,Dallas,United States,18.43,18.29
1997,Dallas,United States,17.85,18.31
1998,Dallas,United States,19.85,18.22
1999,Dallas,United States,19.61,18.36
2000,Dallas,United States,18.9,18.49
2001,Dallas,United States,18.55,18.62
2002,Dallas,United States,18.19,18.58
2003,Dallas,United States,18.55,18.56
2004,Dallas,United States,18.58,18.59
2005,Dallas,United States,19.13,18.66
2006,Dallas,United States,19.85,18.74
2007,Dallas,United States,18.42,18.86
2008,Dallas,United States,18.52,18.86
2009,Dallas,United States,18.42,18.92
2010,Dallas,United States,18.69,18.79
2011,Dallas,United States,19.69,18.71
2012,Dallas,United States,19.99,18.78
2013,Dallas,United States,20.45,18.91
