,Year,Month,AvgDryBulbTemp_Cincinnati,MinDryBulbTemp_Cincinnati,MaxDryBulbTemp_Cincinnati,DECADE
0,1948,1,268.18733572282,253.14999999999998,294.26111111111106,1940
1,1948,2,274.2890485312907,258.15,293.15,1940
2,1948,3,280.4857228195943,259.81666666666666,298.15,1940
3,1948,4,286.72021604938294,273.15,302.0388888888889,1940
4,1948,5,289.53440860215085,279.26111111111106,302.0388888888889,1940
5,1948,6,295.1945062586926,282.0388888888889,305.92777777777775,1940
6,1948,7,297.17084270505393,285.3722222222222,307.0388888888889,1940
7,1948,8,296.39447431302324,284.26111111111106,309.81666666666666,1940
8,1948,9,293.5280864197541,281.4833333333333,305.3722222222222,1940
9,1948,10,284.5597968936682,269.81666666666666,297.0388888888889,1940
10,1948,11,281.6992107706601,269.81666666666666,294.81666666666666,1940
11,1948,12,275.9651135005976,259.81666666666666,291.4833333333333,1940
12,1949,1,276.5439802336033,258.15,292.59444444444443,1940
13,1949,2,276.3348184818484,261.4833333333333,292.0388888888889,1940
14,1949,3,279.4872531282985,264.81666666666666,295.92777777777775,1940
15,1949,4,283.6808641975313,272.0388888888889,298.15,1940
16,1949,5,291.45943847072954,276.4833333333333,304.81666666666666,1940
17,1949,6,296.6442742185087,282.59444444444443,308.15,1940
18,1949,7,298.83693693693743,289.26111111111106,307.59444444444443,1940
19,1949,8,296.23591992802545,286.4833333333333,307.0388888888889,1940
20,1949,9,289.7294753086425,274.81666666666666,301.4833333333333,1940
21,1949,10,288.7712664277182,274.26111111111106,302.0388888888889,1940
22,1949,11,279.4532407407413,266.4833333333333,295.92777777777775,1940
23,1949,12,276.73198924731236,260.92777777777775,291.4833333333333,1940
24,1950,1,278.30947888589435,264.81666666666666,296.4833333333333,1950
25,1950,2,274.7654100529101,254.81666666666663,290.92777777777775,1950
26,1950,3,276.666524599971,259.81666666666666,298.15,1950
27,1950,4,282.086087898484,268.7055555555555,297.59444444444443,1950
28,1950,5,290.7612604540031,278.15,303.7055555555555,1950
29,1950,6,293.94706790123513,281.4833333333333,306.4833333333333,1950
30,1950,7,295.33173639226334,286.4833333333333,303.7055555555555,1950
31,1950,8,294.4345820248246,281.4833333333333,306.4833333333333,1950
32,1950,9,291.1357231533212,274.81666666666666,303.15,1950
33,1950,10,288.44271206690604,274.81666666666666,302.59444444444443,1950
34,1950,11,276.30200617283947,255.3722222222222,299.26111111111106,1950
35,1950,12,270.5255826191551,257.59444444444443,291.4833333333333,1950
36,1951,1,273.8272700119478,258.15,290.3722222222222,1950
37,1951,2,273.78657407407474,247.59444444444443,291.4833333333333,1950
38,1951,3,277.62804659498244,265.3722222222222,293.15,1950
39,1951,4,283.5358024691361,272.0388888888889,303.15,1950
40,1951,5,291.2242234169656,278.15,306.4833333333333,1950
41,1951,6,295.21635802469166,283.15,305.92777777777775,1950
42,1951,7,297.5854838709685,284.26111111111106,308.15,1950
43,1951,8,296.6067070435183,283.7055555555555,309.81666666666666,1950
44,1951,9,292.02345679012353,276.4833333333333,306.4833333333333,1950
45,1951,10,287.6745582509738,272.59444444444443,303.7055555555555,1950
46,1951,11,276.0743827160499,262.0388888888889,293.15,1950
47,1951,12,274.69329295648294,252.59444444444443,293.7055555555555,1950
48,1952,1,275.8762544802873,257.59444444444443,292.0388888888889,1950
49,1952,2,275.6839728217429,267.0388888888889,289.26111111111106,1950
50,1952,3,278.64507168458863,265.3722222222222,295.3722222222222,1950
51,1952,4,285.1422839506172,271.4833333333333,300.3722222222222,1950
52,1952,5,290.1504480286744,277.0388888888889,305.3722222222222,1950
53,1952,6,298.05586419753166,285.92777777777775,309.81666666666666,1950
54,1952,7,298.59264991775126,284.81666666666666,309.81666666666666,1950
55,1952,8,296.52440262843567,283.7055555555555,307.59444444444443,1950
56,1952,9,292.35391061452566,278.15,307.0388888888889,1950
57,1952,10,283.1575075075077,267.0388888888889,303.15,1950
58,1952,11,279.95864197530915,265.3722222222222,295.3722222222222,1950
59,1952,12,275.5039596507083,263.15,291.4833333333333,1950
60,1953,1,275.39238351254505,261.4833333333333,290.3722222222222,1950
61,1953,2,275.9732473544975,263.15,288.7055555555555,1950
62,1953,3,279.89955197132673,267.0388888888889,295.92777777777775,1950
63,1953,4,282.609104938272,269.81666666666666,299.26111111111106,1950
64,1953,5,292.14805592941525,280.3722222222222,305.3722222222222,1950
65,1953,6,297.3066358024696,282.0388888888889,308.7055555555555,1950
66,1953,7,297.6288395394053,284.81666666666666,308.7055555555555,1950
67,1953,8,297.3592293906817,284.26111111111106,309.26111111111106,1950
68,1953,9,293.49858387799566,278.15,310.92777777777775,1950
69,1953,10,288.2993428912788,273.15,304.81666666666666,1950
70,1953,11,280.2950617283956,268.15,294.81666666666666,1950
71,1953,12,274.4253882915177,255.92777777777775,289.26111111111106,1950
72,1954,1,274.00125448028734,258.15,288.15,1950
73,1954,2,278.162400793651,264.26111111111106,293.7055555555555,1950
74,1954,3,277.5270589997009,263.7055555555555,293.15,1950
75,1954,4,288.30917168907484,268.7055555555555,303.15,1950
76,1954,5,287.98198924731236,273.15,304.81666666666666,1950
77,1954,6,296.38533950617335,280.3722222222222,309.81666666666666,1950
78,1954,7,298.49572879331,286.4833333333333,312.0388888888889,1950
79,1954,8,296.18390083632045,284.81666666666666,307.0388888888889,1950
80,1954,9,294.61913580246977,280.92777777777775,310.92777777777775,1950
81,1954,10,286.99557945041863,270.3722222222222,303.7055555555555,1950
82,1954,11,279.44732653376644,268.7055555555555,295.3722222222222,1950
83,1954,12,274.04950650515974,263.15,287.0388888888889,1950
84,1955,1,272.13609241812526,254.2611111111111,288.7055555555555,1950
85,1955,2,274.56662526908497,255.92777777777775,291.4833333333333,1950
86,1955,3,279.63575305291715,263.15,294.81666666666666,1950
87,1955,4,288.0388888888893,269.81666666666666,300.92777777777775,1950
88,1955,5,291.5710526315793,278.15,302.59444444444443,1950
89,1955,6,293.0463169297431,282.59444444444443,304.26111111111106,1950
90,1955,7,298.7287037037042,291.4833333333333,308.15,1950
91,1955,8,298.3481456557503,285.3722222222222,308.7055555555555,1950
92,1955,9,294.3807098765437,279.81666666666666,306.4833333333333,1950
93,1955,10,286.25558542413404,271.4833333333333,298.7055555555555,1950
94,1955,11,277.8614197530867,259.26111111111106,298.15,1950
95,1955,12,273.1604540023901,257.59444444444443,290.3722222222222,1950
96,1956,1,271.516277328542,259.81666666666666,287.0388888888889,1950
97,1956,2,276.0706577266926,265.92777777777775,290.3722222222222,1950
98,1956,3,278.57342342342406,266.4833333333333,295.3722222222222,1950
99,1956,4,283.33364197530943,270.3722222222222,300.3722222222222,1950
100,1956,5,290.7381123058543,277.0388888888889,303.15,1950
101,1956,6,295.2261860608877,280.92777777777775,305.92777777777775,1950
102,1956,7,296.18539426523307,286.4833333333333,307.59444444444443,1950
103,1956,8,296.07338709677464,283.7055555555555,307.0388888888889,1950
104,1956,9,291.04814814814836,277.59444444444443,304.26111111111106,1950
105,1956,10,288.7758411843882,274.81666666666666,300.3722222222222,1950
106,1956,11,278.97716049382694,262.0388888888889,297.59444444444443,1950
107,1956,12,278.6749402628441,265.92777777777775,294.26111111111106,1950
108,1957,1,270.93300477897293,252.59444444444443,289.81666666666666,1950
109,1957,2,276.6991071428576,264.81666666666666,292.0388888888889,1950
110,1957,3,278.96242532855445,264.81666666666666,295.92777777777775,1950
111,1957,4,286.43317901234565,269.26111111111106,302.0388888888889,1950
112,1957,5,290.9292712066908,273.7055555555555,304.26111111111106,1950
113,1957,6,295.8938271604944,286.4833333333333,308.7055555555555,1950
114,1957,7,297.82592592592647,287.59444444444443,308.7055555555555,1950
115,1957,8,296.5736857825573,283.15,307.0388888888889,1950
116,1957,9,292.66080246913634,278.7055555555555,307.0388888888889,1950
117,1957,10,284.9615292712068,272.59444444444443,299.81666666666666,1950
118,1957,11,279.64922839506187,265.92777777777775,292.0388888888889,1950
119,1957,12,276.99152758983615,258.15,289.26111111111106,1950
120,1958,1,271.75513739545994,259.26111111111106,284.26111111111106,1950
121,1958,2,269.57278439153464,253.14999999999998,290.92777777777775,1950
122,1958,3,276.2906810035843,268.15,287.0388888888889,1950
123,1958,4,285.3799382716056,272.59444444444443,300.92777777777775,1950
124,1958,5,290.48796296296337,277.59444444444443,302.59444444444443,1950
125,1958,6,293.5342592592598,284.26111111111106,304.81666666666666,1950
126,1958,7,296.4422640382322,288.15,305.3722222222222,1950
127,1958,8,295.80456989247347,283.15,305.3722222222222,1950
128,1958,9,292.6731481481487,278.7055555555555,305.3722222222222,1950
129,1958,10,286.2682795698929,272.59444444444443,298.7055555555555,1950
130,1958,11,280.8305555555559,256.4833333333333,300.3722222222222,1950
131,1958,12,270.3849163679811,254.81666666666663,287.0388888888889,1950
132,1959,1,271.464665471924,252.59444444444443,291.4833333333333,1950
133,1959,2,275.12337962963,259.26111111111106,292.0388888888889,1950
134,1959,3,278.1582138590208,265.3722222222222,298.15,1950
135,1959,4,286.0512345679019,274.26111111111106,299.81666666666666,1950
136,1959,5,292.93046594982104,275.3722222222222,305.92777777777775,1950
137,1959,6,295.77422839506227,283.15,307.59444444444443,1950
138,1959,7,297.5705495818401,286.4833333333333,307.59444444444443,1950
139,1959,8,298.4001493428916,288.7055555555555,308.7055555555555,1950
140,1959,9,294.4895061728397,279.26111111111106,305.92777777777775,1950
141,1959,10,286.99333930704955,272.0388888888889,304.26111111111106,1950
142,1959,11,277.9015432098764,260.92777777777775,297.0388888888889,1950
143,1959,12,276.4624253285543,263.7055555555555,290.92777777777775,1950
144,1960,1,274.44330943847126,258.15,292.0388888888889,1960
145,1960,2,272.42203065134186,262.0388888888889,288.15,1960
146,1960,3,272.04560931899687,256.4833333333333,297.0388888888889,1960
147,1960,4,287.59367283950655,269.81666666666666,303.7055555555555,1960
148,1960,5,288.8683393070493,275.3722222222222,303.7055555555555,1960
149,1960,6,294.6152777777782,284.26111111111106,305.3722222222222,1960
150,1960,7,296.510215053764,285.3722222222222,307.0388888888889,1960
151,1960,8,297.3039725209084,288.7055555555555,305.92777777777775,1960
152,1960,9,294.21712962963005,282.59444444444443,307.0388888888889,1960
153,1960,10,287.0179808841107,270.92777777777775,300.92777777777775,1960
154,1960,11,280.59984567901273,268.15,295.3722222222222,1960
155,1960,12,271.3623655913983,253.70555555555552,289.81666666666666,1960
156,1961,1,270.7575268817211,253.70555555555552,287.0388888888889,1960
157,1961,2,276.5899801587301,260.3722222222222,294.26111111111106,1960
158,1961,3,281.09877538829187,268.7055555555555,295.92777777777775,1960
159,1961,4,282.12453703703784,268.15,299.81666666666666,1960
160,1961,5,288.4023894862607,273.7055555555555,302.0388888888889,1960
161,1961,6,294.09521604938305,281.4833333333333,307.0388888888889,1960
162,1961,7,296.78799283154143,285.92777777777775,307.59444444444443,1960
163,1961,8,296.1734468339311,286.4833333333333,305.92777777777775,1960
164,1961,9,294.8891975308647,279.26111111111106,305.92777777777775,1960
165,1961,10,287.3211469534057,272.59444444444443,302.59444444444443,1960
166,1961,11,279.9995370370373,265.92777777777775,299.26111111111106,1960
167,1961,12,273.99122688317567,255.3722222222222,292.0388888888889,1960
168,1962,1,271.1002688172045,250.3722222222222,291.4833333333333,1960
169,1962,2,274.3991732804239,256.4833333333333,293.7055555555555,1960
170,1962,3,277.7639486260458,262.59444444444443,297.0388888888889,1960
171,1962,4,284.30817901234644,270.3722222222222,302.0388888888889,1960
172,1962,5,293.1865890083638,279.81666666666666,305.92777777777775,1960
173,1962,6,295.3328703703708,283.7055555555555,305.92777777777775,1960
174,1962,7,296.28097371565167,282.59444444444443,305.3722222222222,1960
175,1962,8,296.8671445639192,285.3722222222222,311.4833333333333,1960
176,1962,9,290.50725308642023,274.81666666666666,305.3722222222222,1960
177,1962,10,286.4557048984469,264.81666666666666,301.4833333333333,1960
178,1962,11,279.2271604938275,266.4833333333333,292.0388888888889,1960
179,1962,12,271.1727001194747,253.70555555555552,292.0388888888889,1960
180,1963,1,267.6930107526888,245.92777777777775,285.3722222222222,1960
181,1963,2,269.1337962962968,249.81666666666663,286.4833333333333,1960
182,1963,3,280.1295400238949,267.0388888888889,298.15,1960
183,1963,4,285.2773148148154,269.81666666666666,300.3722222222222,1960
184,1963,5,288.3187574671453,270.3722222222222,303.7055555555555,1960
185,1963,6,293.60216049382757,280.3722222222222,305.3722222222222,1960
186,1963,7,295.15418160095624,282.0388888888889,305.3722222222222,1960
187,1963,8,294.46048387096863,282.59444444444443,309.81666666666666,1960
188,1963,9,291.521141975309,274.81666666666666,305.3722222222222,1960
189,1963,10,289.54336917562796,269.26111111111106,303.7055555555555,1960
190,1963,11,280.491820987655,264.81666666666666,293.15,1960
191,1963,12,268.05890083632073,250.92777777777775,287.59444444444443,1960
192,1964,1,273.3433990442059,249.2611111111111,289.81666666666666,1960
193,1964,2,272.2360472541512,260.3722222222222,285.3722222222222,1960
194,1964,3,278.89846717511637,264.26111111111106,294.81666666666666,1960
195,1964,4,286.54120370370407,265.92777777777775,301.4833333333333,1960
196,1964,5,292.20689964157776,279.81666666666666,305.92777777777775,1960
197,1964,6,295.5157407407412,281.4833333333333,307.59444444444443,1960
198,1964,7,296.33847072879354,284.81666666666666,307.59444444444443,1960
199,1964,8,295.9964755077664,282.0388888888889,310.92777777777775,1960
200,1964,9,292.60601851851874,276.4833333333333,309.26111111111106,1960
201,1964,10,284.2947132616496,269.81666666666666,301.4833333333333,1960
202,1964,11,281.5983024691361,259.81666666666666,298.15,1960
203,1964,12,275.5850358422941,257.0388888888889,293.7055555555555,1960
204,1965,1,272.7818697729991,250.92777777777775,290.92777777777775,1960
205,1965,2,273.5782407407413,250.3722222222222,291.4833333333333,1960
206,1965,3,275.86654719235383,263.15,293.7055555555555,1960
207,1965,4,284.84135802469194,270.3722222222222,299.81666666666666,1960
208,1965,5,292.78784348865037,274.81666666666666,303.15,1960
209,1965,6,294.75879629629674,281.4833333333333,304.81666666666666,1960
210,1965,7,295.8045698924738,284.26111111111106,309.26111111111106,1960
211,1965,8,295.0399342891288,279.81666666666666,307.59444444444443,1960
212,1965,9,292.54660493827186,275.92777777777775,303.7055555555555,1960
213,1965,10,284.9234468339314,270.3722222222222,298.15,1960
214,1965,11,280.00339506172907,266.4833333333333,294.26111111111106,1960
215,1965,12,276.6281959378732,266.4833333333333,289.81666666666666,1960
216,1966,1,280.65000000000003,280.3722222222222,282.59444444444443,1960
217,1966,2,,,,1960
218,1966,3,,,,1960
219,1966,4,,,,1960
220,1966,5,,,,1960
221,1966,6,,,,1960
222,1966,7,,,,1960
223,1966,8,,,,1960
224,1966,9,,,,1960
225,1966,10,,,,1960
226,1966,11,,,,1960
227,1966,12,,,,1960
228,1967,1,,,,1960
229,1967,2,,,,1960
230,1967,3,,,,1960
231,1967,4,,,,1960
232,1967,5,,,,1960
233,1967,6,,,,1960
234,1967,7,,,,1960
235,1967,8,,,,1960
236,1967,9,,,,1960
237,1967,10,,,,1960
238,1967,11,,,,1960
239,1967,12,,,,1960
240,1968,1,,,,1960
241,1968,2,,,,1960
242,1968,3,,,,1960
243,1968,4,,,,1960
244,1968,5,,,,1960
245,1968,6,,,,1960
246,1968,7,,,,1960
247,1968,8,,,,1960
248,1968,9,,,,1960
249,1968,10,,,,1960
250,1968,11,,,,1960
251,1968,12,,,,1960
252,1969,1,,,,1960
253,1969,2,,,,1960
254,1969,3,,,,1960
255,1969,4,,,,1960
256,1969,5,,,,1960
257,1969,6,,,,1960
258,1969,7,,,,1960
259,1969,8,,,,1960
260,1969,9,,,,1960
261,1969,10,,,,1960
262,1969,11,,,,1960
263,1969,12,,,,1960
264,1970,1,,,,1970
265,1970,2,,,,1970
266,1970,3,,,,1970
267,1970,4,,,,1970
268,1970,5,,,,1970
269,1970,6,,,,1970
270,1970,7,,,,1970
271,1970,8,,,,1970
272,1970,9,,,,1970
273,1970,10,,,,1970
274,1970,11,,,,1970
275,1970,12,,,,1970
276,1971,1,,,,1970
277,1971,2,,,,1970
278,1971,3,,,,1970
279,1971,4,,,,1970
280,1971,5,,,,1970
281,1971,6,,,,1970
282,1971,7,,,,1970
283,1971,8,,,,1970
284,1971,9,,,,1970
285,1971,10,,,,1970
286,1971,11,,,,1970
287,1971,12,,,,1970
288,1972,1,,,,1970
289,1972,2,,,,1970
290,1972,3,,,,1970
291,1972,4,,,,1970
292,1972,5,,,,1970
293,1972,6,,,,1970
294,1972,7,,,,1970
295,1972,8,,,,1970
296,1972,9,,,,1970
297,1972,10,,,,1970
298,1972,11,,,,1970
299,1972,12,,,,1970
300,1973,1,272.9046607009702,258.15,290.3722222222222,1970
301,1973,2,273.3583333333338,257.59444444444443,287.59444444444443,1970
302,1973,3,283.2499254287847,268.7055555555555,296.4833333333333,1970
303,1973,4,283.63466635845276,270.3722222222222,299.26111111111106,1970
304,1973,5,287.7915770609322,274.81666666666666,298.15,1970
305,1973,6,295.32283950617324,282.0388888888889,304.81666666666666,1970
306,1973,7,296.4855734767036,286.4833333333333,305.3722222222222,1970
307,1973,8,295.80889038432855,284.26111111111106,305.3722222222222,1970
308,1973,9,293.58535213438216,277.0388888888889,305.92777777777775,1970
309,1973,10,287.6496271439232,272.59444444444443,301.4833333333333,1970
310,1973,11,280.86604938271626,265.3722222222222,292.59444444444443,1970
311,1973,12,274.0295055108734,260.3722222222222,289.81666666666666,1970
312,1974,1,275.24876543209893,259.81666666666666,289.81666666666666,1970
313,1974,2,273.9196759259262,260.3722222222222,289.81666666666666,1970
314,1974,3,280.73612975391495,261.4833333333333,299.26111111111106,1970
315,1974,4,285.8197530864202,272.0388888888889,300.3722222222222,1970
316,1974,5,289.84952210274844,273.15,302.59444444444443,1970
317,1974,6,293.00591000154174,282.59444444444443,303.7055555555555,1970
318,1974,7,296.8968221923142,287.59444444444443,305.92777777777775,1970
319,1974,8,296.23542413381233,285.3722222222222,304.81666666666666,1970
320,1974,9,289.5566358024698,275.92777777777775,302.0388888888889,1970
321,1974,10,284.64044205495884,268.7055555555555,299.26111111111106,1970
322,1974,11,279.7689596799022,267.59444444444443,295.3722222222222,1970
323,1974,12,274.6693204029473,262.0388888888889,287.0388888888889,1970
324,1975,1,274.44405615292686,258.7055555555555,292.0388888888889,1970
325,1975,2,275.7169642857146,259.26111111111106,290.92777777777775,1970
326,1975,3,277.24992542878516,263.7055555555555,295.92777777777775,1970
327,1975,4,283.34956850053965,269.26111111111106,298.7055555555555,1970
328,1975,5,292.7803763440864,278.15,305.92777777777775,1970
