,Year,Month,AvgDryBulbTemp_NewYork,MinDryBulbTemp_NewYork,MaxDryBulbTemp_NewYork,DECADE
0,1948,1,,,,1940
1,1948,2,,,,1940
2,1948,3,,,,1940
3,1948,4,,,,1940
4,1948,5,,,,1940
5,1948,6,,,,1940
6,1948,7,298.00376149555325,288.7055555555555,307.0388888888889,1940
7,1948,8,297.13908329594824,290.3722222222222,312.59444444444443,1940
8,1948,9,293.86086385411926,283.15,304.26111111111106,1940
9,1948,10,286.6737455197137,276.4833333333333,298.7055555555555,1940
10,1948,11,284.45478395061764,274.81666666666666,295.92777777777775,1940
11,1948,12,276.90522700119567,261.4833333333333,287.59444444444443,1940
12,1949,1,277.0142473118286,266.4833333333333,289.81666666666666,1940
13,1949,2,277.0736111111114,265.3722222222222,296.4833333333333,1940
14,1949,3,278.7443847072878,265.3722222222222,297.0388888888889,1940
15,1949,4,284.6165430381706,275.92777777777775,298.7055555555555,1940
16,1949,5,289.67479091995267,280.92777777777775,307.0388888888889,1940
17,1949,6,296.09135802469206,284.26111111111106,308.15,1940
18,1949,7,298.95943847072976,290.92777777777775,310.92777777777775,1940
19,1949,8,297.6041647973685,287.59444444444443,310.3722222222222,1940
20,1949,9,291.9702160493836,283.15,302.0388888888889,1940
21,1949,10,290.0257467144569,279.26111111111106,304.26111111111106,1940
22,1949,11,281.17006172839535,268.7055555555555,296.4833333333333,1940
23,1949,12,277.4100059737158,267.59444444444443,290.3722222222222,1940
24,1950,1,278.15299087782313,264.26111111111106,294.81666666666666,1950
25,1950,2,273.2773148148157,259.26111111111106,283.15,1950
26,1950,3,275.58578255675064,261.4833333333333,291.4833333333333,1950
27,1950,4,281.95246913580274,270.3722222222222,295.92777777777775,1950
28,1950,5,287.43315412186405,278.15,300.92777777777775,1950
29,1950,6,294.3899691358029,283.15,306.4833333333333,1950
30,1950,7,296.97243130227037,289.81666666666666,306.4833333333333,1950
31,1950,8,295.8187574671453,288.15,303.7055555555555,1950
32,1950,9,291.2773148148152,279.81666666666666,303.7055555555555,1950
33,1950,10,288.60026881720495,277.0388888888889,303.7055555555555,1950
34,1950,11,282.53888888888963,272.0388888888889,301.4833333333333,1950
35,1950,12,275.2181100586385,261.4833333333333,289.26111111111106,1950
36,1951,1,275.85534647550855,262.0388888888889,290.92777777777775,1950
37,1951,2,275.4292658730158,261.4833333333333,291.4833333333333,1950
38,1951,3,278.6308841099169,269.26111111111106,289.26111111111106,1950
39,1951,4,284.57361111111146,277.0388888888889,301.4833333333333,1950
40,1951,5,289.92045997610563,280.92777777777775,305.3722222222222,1950
41,1951,6,293.9231481481486,284.81666666666666,305.3722222222222,1950
42,1951,7,297.5764991775092,290.3722222222222,307.0388888888889,1950
43,1951,8,296.56024492234206,288.7055555555555,307.0388888888889,1950
44,1951,9,293.2086419753092,280.92777777777775,302.0388888888889,1950
45,1951,10,288.1791218637998,279.81666666666666,301.4833333333333,1950
46,1951,11,279.6530864197536,267.59444444444443,292.59444444444443,1950
47,1951,12,277.04635603345326,260.3722222222222,290.92777777777775,1950
48,1952,1,275.693309438471,259.26111111111106,289.26111111111106,1950
49,1952,2,275.53186462324504,265.3722222222222,284.26111111111106,1950
50,1952,3,277.55038829151704,268.7055555555555,288.7055555555555,1950
51,1952,4,285.5836419753085,274.81666666666666,300.3722222222222,1950
52,1952,5,288.8491176910427,280.92777777777775,300.3722222222222,1950
53,1952,6,296.2407124092113,288.15,310.92777777777775,1950
54,1952,7,299.480645161291,290.92777777777775,308.7055555555555,1950
55,1952,8,296.9253882915176,286.4833333333333,304.81666666666666,1950
56,1952,9,294.05895061728404,284.81666666666666,307.0388888888889,1950
57,1952,10,286.3481780167263,274.26111111111106,299.81666666666666,1950
58,1952,11,282.5080246913586,272.0388888888889,295.3722222222222,1950
59,1952,12,277.1478950533759,262.59444444444443,288.7055555555555,1950
60,1953,1,276.46615890083655,268.15,288.15,1950
61,1953,2,277.00664682539747,264.26111111111106,293.15,1950
62,1953,3,279.40224014336934,266.4833333333333,293.15,1950
63,1953,4,284.2788580246922,274.81666666666666,297.59444444444443,1950
64,1953,5,289.9122461170857,280.3722222222222,308.15,1950
65,1953,6,296.0049382716054,284.26111111111106,308.7055555555555,1950
66,1953,7,298.19037685060624,289.26111111111106,309.81666666666666,1950
67,1953,8,297.28978494623715,288.15,310.92777777777775,1950
68,1953,9,294.1546296296304,283.15,312.0388888888889,1950
69,1953,10,288.82577658303484,278.7055555555555,299.81666666666666,1950
70,1953,11,282.94552469135874,272.59444444444443,295.3722222222222,1950
71,1953,12,278.545758661888,264.26111111111106,288.7055555555555,1950
72,1954,1,272.72213261648807,260.3722222222222,286.4833333333333,1950
73,1954,2,277.70026455026516,262.0388888888889,294.26111111111106,1950
74,1954,3,278.610722819594,268.15,292.59444444444443,1950
75,1954,4,284.7533950617287,268.7055555555555,298.7055555555555,1950
76,1954,5,288.44719235364437,280.3722222222222,302.59444444444443,1950
77,1954,6,294.7263888888895,285.92777777777775,305.92777777777775,1950
78,1954,7,297.68778375149407,290.3722222222222,309.81666666666666,1950
79,1954,8,295.98900836320286,288.7055555555555,305.92777777777775,1950
80,1954,9,293.02731481481584,284.26111111111106,304.26111111111106,1950
81,1954,10,289.78903823178047,278.15,303.15,1950
82,1954,11,281.24490740740794,273.7055555555555,290.92777777777775,1950
83,1954,12,275.7739545997614,264.81666666666666,287.59444444444443,1950
84,1955,1,272.82069892473186,262.59444444444443,284.26111111111106,1950
85,1955,2,274.7100198412699,256.4833333333333,288.7055555555555,1950
86,1955,3,278.44121863799336,265.92777777777775,294.26111111111106,1950
87,1955,4,284.72561728395095,274.26111111111106,300.92777777777775,1950
88,1955,5,291.2141543292959,279.26111111111106,304.81666666666666,1950
89,1955,6,294.1276234567906,284.26111111111106,305.3722222222222,1950
90,1955,7,299.8898446833935,292.0388888888889,310.92777777777775,1950
91,1955,8,298.69734169653583,290.3722222222222,310.92777777777775,1950
92,1955,9,293.38611111111175,284.26111111111106,302.0388888888889,1950
93,1955,10,289.094593787336,279.26111111111106,303.15,1950
94,1955,11,280.3891975308645,264.81666666666666,293.15,1950
95,1955,12,272.5787634408606,258.7055555555555,284.81666666666666,1950
96,1956,1,273.5868279569895,264.26111111111106,281.4833333333333,1950
97,1956,2,275.85194763729294,263.7055555555555,288.7055555555555,1950
98,1956,3,276.398207885305,265.92777777777775,290.92777777777775,1950
99,1956,4,281.8621913580251,273.7055555555555,302.0388888888889,1950
100,1956,5,287.74378733572337,276.4833333333333,305.92777777777775,1950
101,1956,6,295.4246913580254,284.81666666666666,309.81666666666666,1950
102,1956,7,296.33473715651195,287.59444444444443,307.59444444444443,1950
103,1956,8,296.90746714456486,288.7055555555555,305.92777777777775,1950
104,1956,9,291.6947530864204,279.81666666666666,303.7055555555555,1950
105,1956,10,287.8333930704898,278.7055555555555,301.4833333333333,1950
106,1956,11,281.7325617283955,268.15,293.7055555555555,1950
107,1956,12,278.55621266427744,264.26111111111106,293.15,1950
108,1957,1,271.7738052568708,255.3722222222222,289.81666666666666,1950
109,1957,2,276.2237433862432,265.92777777777775,289.26111111111106,1950
110,1957,3,278.7862007168466,268.7055555555555,293.15,1950
111,1957,4,284.506481481482,273.7055555555555,302.59444444444443,1950
112,1957,5,290.28336320191227,277.59444444444443,303.15,1950
113,1957,6,296.15231481481584,285.3722222222222,308.7055555555555,1950
114,1957,7,298.1163978494629,288.7055555555555,310.92777777777775,1950
115,1957,8,296.0801075268822,287.0388888888889,307.59444444444443,1950
116,1957,9,294.1955246913583,280.3722222222222,305.92777777777775,1950
117,1957,10,286.94928315412216,275.3722222222222,298.7055555555555,1950
118,1957,11,282.98564814814847,270.92777777777775,292.0388888888889,1950
119,1957,12,278.20938956547917,265.92777777777775,288.7055555555555,1950
120,1958,1,273.2851553166075,262.59444444444443,284.81666666666666,1950
121,1958,2,270.89553571428615,257.59444444444443,282.59444444444443,1950
122,1958,3,277.57129629629657,270.92777777777775,287.59444444444443,1950
123,1958,4,284.2271604938278,272.0388888888889,298.15,1950
124,1958,5,288.1022102747909,279.81666666666666,299.81666666666666,1950
125,1958,6,292.50570987654316,283.7055555555555,304.26111111111106,1950
126,1958,7,297.6460370868858,290.3722222222222,307.0388888888889,1950
127,1958,8,296.91775833707237,289.26111111111106,305.92777777777775,1950
128,1958,9,293.01342592592624,283.15,304.81666666666666,1950
129,1958,10,286.36161887694226,277.59444444444443,301.4833333333333,1950
130,1958,11,282.44552469135834,265.3722222222222,290.92777777777775,1950
131,1958,12,272.0874253285545,262.59444444444443,285.92777777777775,1950
132,1959,1,272.86923536439724,263.15,287.0388888888889,1950
133,1959,2,273.23101851851874,259.81666666666666,283.15,1950
134,1959,3,277.40029868578296,266.4833333333333,294.81666666666666,1950
135,1959,4,284.42160493827225,274.26111111111106,301.4833333333333,1950
136,1959,5,291.19770450127174,280.3722222222222,305.92777777777775,1950
137,1959,6,294.8753086419755,285.3722222222222,309.81666666666666,1950
138,1959,7,297.5914575866195,290.92777777777775,305.92777777777775,1950
139,1959,8,298.49946236559174,289.26111111111106,307.59444444444443,1950
140,1959,9,295.3143518518527,282.0388888888889,305.92777777777775,1950
141,1959,10,288.6644862604543,275.92777777777775,304.26111111111106,1950
142,1959,11,281.2708468552,267.59444444444443,293.7055555555555,1950
143,1959,12,277.1098267622461,262.0388888888889,287.59444444444443,1950
144,1960,1,274.33876941457623,265.92777777777775,284.81666666666666,1960
145,1960,2,275.6124840357604,265.92777777777775,289.26111111111106,1960
146,1960,3,273.94077060931954,263.7055555555555,294.26111111111106,1960
147,1960,4,284.8830246913584,274.81666666666666,303.7055555555555,1960
148,1960,5,289.69868578255716,279.81666666666666,300.3722222222222,1960
149,1960,6,295.15308641975344,287.0388888888889,304.81666666666666,1960
150,1960,7,296.79247311827976,289.81666666666666,305.3722222222222,1960
151,1960,8,296.6685185185188,289.26111111111106,306.4833333333333,1960
152,1960,9,292.8884259259266,285.92777777777775,305.3722222222222,1960
153,1960,10,287.660902031064,277.59444444444443,300.92777777777775,1960
154,1960,11,283.31820987654345,273.15,293.7055555555555,1960
155,1960,12,273.0185782556753,260.3722222222222,290.92777777777775,1960
156,1961,1,270.9860215053764,258.7055555555555,286.4833333333333,1960
157,1961,2,275.3234457671957,254.81666666666663,290.92777777777775,1960
158,1961,3,277.7355734767032,265.3722222222222,292.59444444444443,1960
159,1961,4,282.0234567901238,274.81666666666666,299.81666666666666,1960
160,1961,5,287.48841099163775,278.15,300.3722222222222,1960
161,1961,6,294.8027777777782,285.92777777777775,308.15,1960
162,1961,7,297.2711170848268,289.26111111111106,307.59444444444443,1960
163,1961,8,296.8272842829375,289.26111111111106,305.3722222222222,1960
164,1961,9,296.086728395062,283.7055555555555,307.0388888888889,1960
165,1961,10,288.465860215054,278.15,299.81666666666666,1960
166,1961,11,282.106018518519,272.0388888888889,294.81666666666666,1960
167,1961,12,275.30305969027245,264.26111111111106,287.59444444444443,1960
168,1962,1,273.4277777777782,260.92777777777775,285.3722222222222,1960
169,1962,2,272.36626984126985,257.59444444444443,284.81666666666666,1960
170,1962,3,277.91105137395493,262.59444444444443,294.81666666666666,1960
171,1962,4,283.91929012345696,274.81666666666666,302.0388888888889,1960
172,1962,5,290.0750298685789,279.81666666666666,307.59444444444443,1960
173,1962,6,295.4740740740748,287.0388888888889,307.0388888888889,1960
174,1962,7,295.98154121863854,288.7055555555555,307.0388888888889,1960
175,1962,8,295.4334528076465,287.0388888888889,305.3722222222222,1960
176,1962,9,291.22021604938294,280.3722222222222,302.59444444444443,1960
177,1962,10,287.14193548387124,274.81666666666666,302.0388888888889,1960
178,1962,11,279.5234567901238,272.59444444444443,288.7055555555555,1960
179,1962,12,272.6064564564571,257.0388888888889,289.81666666666666,1960
180,1963,1,271.6371565113504,257.0388888888889,283.7055555555555,1960
181,1963,2,270.8021164021172,254.2611111111111,282.59444444444443,1960
182,1963,3,278.31726403823205,269.81666666666666,298.15,1960
183,1963,4,283.852932098766,273.7055555555555,298.7055555555555,1960
184,1963,5,288.899701314218,277.0388888888889,302.59444444444443,1960
185,1963,6,294.5581790123459,287.0388888888889,308.15,1960
186,1963,7,297.4884109916372,287.0388888888889,309.26111111111106,1960
187,1963,8,295.84713261648795,287.59444444444443,303.15,1960
188,1963,9,291.57283950617335,279.81666666666666,302.0388888888889,1960
189,1963,10,289.1744922341702,278.15,300.3722222222222,1960
190,1963,11,283.4347222222223,274.81666666666666,293.15,1960
191,1963,12,272.3958183990448,262.0388888888889,285.92777777777775,1960
192,1964,1,274.5314217443253,260.92777777777775,282.59444444444443,1960
193,1964,2,273.31123882503186,266.4833333333333,283.15,1960
194,1964,3,278.88178016726437,268.7055555555555,296.4833333333333,1960
195,1964,4,282.79120370370424,272.0388888888889,302.0388888888889,1960
196,1964,5,291.55576463560357,279.81666666666666,307.0388888888889,1960
197,1964,6,294.60370370370396,284.81666666666666,309.26111111111106,1960
198,1964,7,297.38013739546017,289.26111111111106,308.7055555555555,1960
199,1964,8,295.9464456391882,288.15,304.81666666666666,1960
200,1964,9,292.9408950617293,283.7055555555555,306.4833333333333,1960
201,1964,10,286.06816009558,275.3722222222222,297.0388888888889,1960
202,1964,11,283.07824074074114,269.26111111111106,294.26111111111106,1960
203,1964,12,275.787395459976,266.4833333333333,287.59444444444443,1960
204,1965,1,272.19345878136204,260.92777777777775,285.92777777777775,1960
205,1965,2,273.9386904761902,263.15,288.15,1960
206,1965,3,277.42264614011594,268.15,287.59444444444443,1960
207,1965,4,282.96249999999986,273.15,297.59444444444443,1960
208,1965,5,292.34802867383524,283.15,305.92777777777775,1960
209,1965,6,295.4300925925925,285.92777777777775,308.15,1960
210,1965,7,297.4734767025087,290.3722222222222,307.59444444444443,1960
211,1965,8,297.19121863799285,285.92777777777775,305.3722222222222,1960
212,1965,9,293.9892942298522,281.4833333333333,305.92777777777775,1960
213,1965,10,286.47213261648744,274.26111111111106,297.0388888888889,1960
214,1965,11,280.9138888888885,271.4833333333333,292.0388888888889,1960
215,1965,12,277.51603942652287,267.0388888888889,289.81666666666666,1960
216,1966,1,287.0388888888889,284.26111111111106,288.15,1960
217,1966,2,,,,1960
218,1966,3,,,,1960
219,1966,4,,,,1960
220,1966,5,,,,1960
221,1966,6,,,,1960
222,1966,7,,,,1960
223,1966,8,,,,1960
224,1966,9,,,,1960
225,1966,10,,,,1960
226,1966,11,,,,1960
227,1966,12,,,,1960
228,1967,1,,,,1960
229,1967,2,,,,1960
230,1967,3,,,,1960
231,1967,4,,,,1960
232,1967,5,,,,1960
233,1967,6,,,,1960
234,1967,7,,,,1960
235,1967,8,,,,1960
236,1967,9,,,,1960
237,1967,10,,,,1960
238,1967,11,,,,1960
239,1967,12,,,,1960
240,1968,1,,,,1960
241,1968,2,,,,1960
242,1968,3,,,,1960
243,1968,4,,,,1960
244,1968,5,,,,1960
245,1968,6,,,,1960
246,1968,7,,,,1960
247,1968,8,,,,1960
248,1968,9,,,,1960
249,1968,10,,,,1960
250,1968,11,,,,1960
251,1968,12,,,,1960
252,1969,1,,,,1960
253,1969,2,,,,1960
254,1969,3,,,,1960
255,1969,4,,,,1960
256,1969,5,,,,1960
257,1969,6,,,,1960
258,1969,7,,,,1960
259,1969,8,,,,1960
260,1969,9,,,,1960
261,1969,10,,,,1960
262,1969,11,,,,1960
263,1969,12,,,,1960
264,1970,1,,,,1970
265,1970,2,,,,1970
266,1970,3,,,,1970
267,1970,4,,,,1970
268,1970,5,,,,1970
269,1970,6,,,,1970
270,1970,7,,,,1970
271,1970,8,,,,1970
272,1970,9,,,,1970
273,1970,10,,,,1970
274,1970,11,,,,1970
275,1970,12,,,,1970
276,1971,1,,,,1970
277,1971,2,,,,1970
278,1971,3,,,,1970
279,1971,4,,,,1970
280,1971,5,,,,1970
281,1971,6,,,,1970
282,1971,7,,,,1970
283,1971,8,,,,1970
284,1971,9,,,,1970
285,1971,10,,,,1970
286,1971,11,,,,1970
287,1971,12,,,,1970
288,1972,1,,,,1970
289,1972,2,,,,1970
290,1972,3,,,,1970
291,1972,4,,,,1970
292,1972,5,,,,1970
293,1972,6,,,,1970
294,1972,7,,,,1970
295,1972,8,,,,1970
296,1972,9,,,,1970
297,1972,10,,,,1970
298,1972,11,,,,1970
299,1972,12,,,,1970
300,1973,1,274.85770633835017,260.92777777777775,290.3722222222222,1970
301,1973,2,273.5032235939647,260.3722222222222,287.0388888888889,1970
302,1973,3,280.0463675213682,272.0388888888889,291.4833333333333,1970
303,1973,4,284.49028765607716,274.81666666666666,301.4833333333333,1970
304,1973,5,287.9300925925933,279.81666666666666,299.81666666666666,1970
305,1973,6,295.32405266538217,287.59444444444443,307.0388888888889,1970
306,1973,7,297.89594429139953,288.7055555555555,306.4833333333333,1970
307,1973,8,298.0585600122947,288.7055555555555,309.26111111111106,1970
308,1973,9,293.7414750957857,282.0388888888889,306.4833333333333,1970
309,1973,10,288.5410868576627,278.7055555555555,299.81666666666666,1970
310,1973,11,282.63760991207096,272.59444444444443,296.4833333333333,1970
311,1973,12,277.3235347985359,264.81666666666666,290.92777777777775,1970
312,1974,1,275.0781045751641,259.26111111111106,292.0388888888889,1970
313,1974,2,273.09252873563287,257.0388888888889,287.0388888888889,1970
314,1974,3,278.4713957759413,267.59444444444443,293.15,1970
315,1974,4,285.4547064531787,271.4833333333333,304.26111111111106,1970
316,1974,5,288.49712748218917,278.7055555555555,305.3722222222222,1970
317,1974,6,293.3783862810185,285.3722222222222,306.4833333333333,1970
318,1974,7,297.8744928852563,289.26111111111106,307.59444444444443,1970
319,1974,8,297.1957783841143,288.7055555555555,304.81666666666666,1970
320,1974,9,292.3444053758407,279.81666666666666,304.26111111111106,1970
321,1974,10,285.3281425748596,273.7055555555555,298.15,1970
322,1974,11,281.9356025039125,270.3722222222222,299.26111111111106,1970
323,1974,12,277.4960012210021,270.3722222222222,287.59444444444443,1970
324,1975,1,275.87328186497155,263.15,289.81666666666666,1970
325,1975,2,275.0736526946112,263.7055555555555,285.92777777777775,1970
326,1975,3,277.2288873689017,265.3722222222222,289.81666666666666,1970
327,1975,4,281.39865463754404,270.92777777777775,295.92777777777775,1970
328,1975,5,290.505493568883,281.4833333333333,304.81666666666666,1970
329,1975,6,293.84874804381866,285.92777777777775,305.92777777777775,1970
330,1975,7,297.2870673952643,289.26111111111106,305.92777777777775,1970
